YEAR,STATE,VALUE
2011,ANDHRA PRADESH,339996
2011,ARUNACHAL PRADESH,10229
2011,ASSAM,129354
2011,BIHAR,228497
2011,GOA,38009
2011,GUJARAT,532809
2011,HARYANA,271152
2011,HIMACHAL PRADESH,60536
2011,JAMMU & KASHMIR,65319
2011,JHARKHAND,137383
2011,KARNATAKA,554952
2011,KERALA,328021
2011,MADHYA PRADESH,282371
2011,CHHATTISGARH,142273
2011,MAHARASHTRA,1126595
2011,MANIPUR,11501
2011,MEGHALAYA,18028
2011,MIZORAM,6404
2011,NAGALAND,10554
2011,ORISSA,204226
2011,PUNJAB,239227
2011,RAJASTHAN,395331
2011,SIKKIM,9742
2011,TAMIL NADU,674478
2011,TRIPURA,17419
2011,UTTAR PRADESH,645132
2011,UTTARAKHAND,101960
2011,WEST BENGAL,473205
2011,ANDAMAN & NICOBAR ISLANDS,3404
2011,CHANDIGARH,16930
2011,DELHI,314650
2011,PUDUCHERRY,15160
2011,TELANGANA,325139
2012,ANDHRA PRADESH,341335
2012,ARUNACHAL PRADESH,10399
2012,ASSAM,132518
2012,BIHAR,236933
2012,GOA,32453
2012,GUJARAT,596659
2012,HARYANA,289756
2012,HIMACHAL PRADESH,64519
2012,JAMMU & KASHMIR,67316
2012,JHARKHAND,149526
2012,KARNATAKA,593192
2012,KERALA,348616
2012,MADHYA PRADESH,306853
2012,CHHATTISGARH,148760
2012,MAHARASHTRA,1189711
2012,MANIPUR,11515
2012,MEGHALAYA,18323
2012,MIZORAM,6836
2012,NAGALAND,11163
2012,ORISSA,216301
2012,PUNJAB,251813
2012,RAJASTHAN,409802
2012,SIKKIM,9970
2012,TAMIL NADU,709343
2012,TRIPURA,18857
2012,UTTAR PRADESH,673552
2012,UTTARAKHAND,109528
2012,WEST BENGAL,492901
2012,ANDAMAN & NICOBAR ISLANDS,3558
2012,CHANDIGARH,18305
2012,DELHI,334193
2012,PUDUCHERRY,15507
2012,TELANGANA,334205
2013,ANDHRA PRADESH,360239
2013,ARUNACHAL PRADESH,11226
2013,ASSAM,138725
2013,BIHAR,246915
2013,GOA,27971
2013,GUJARAT,641489
2013,HARYANA,314931
2013,HIMACHAL PRADESH,69398
2013,JAMMU & KASHMIR,70536
2013,JHARKHAND,150609
2013,KARNATAKA,646787
2013,KERALA,364707
2013,MADHYA PRADESH,322598
2013,CHHATTISGARH,163494
2013,MAHARASHTRA,1267551
2013,MANIPUR,12519
