,state,district,year,dyid,nitrate,sdp,outlier,gini
0,WB,24 paraganas north,2000,24 Paraganas North2000,7.375,274556,0,0.38
2,WB,24 paraganas north,2002,24 Paraganas North2002,11.273889,304701,0,0.38
4,WB,24 paraganas north,2004,24 Paraganas North2004,6.1854167,323618,0,0.38
5,WB,24 paraganas north,2005,24 Paraganas North2005,18.0,343994,0,0.38
7,WB,24 paraganas north,2007,24 Paraganas North2007,6.1915002,399859,0,0.38
8,WB,24 paraganas north,2008,24 Paraganas North2008,12.0,415976,0,0.38
16,WB,24 paraganas north,2016,24 Paraganas North2016,17.093334,584911,0,0.38
17,WB,24 paraganas north,2017,24 Paraganas North2017,6.3233333,623787,0,0.38
18,WB,24 paraganas north,2018,24 Paraganas North2018,6.8807812,659288,0,0.38
19,WB,24 paraganas south,2000,24 Paraganas South2000,3.9666667,274556,0,0.29
20,WB,24 paraganas south,2001,24 Paraganas South2001,18.095715,294382,0,0.29
21,WB,24 paraganas south,2002,24 Paraganas South2002,2.6500001,304701,0,0.29
23,WB,24 paraganas south,2004,24 Paraganas South2004,7.1428571,323618,0,0.29
24,WB,24 paraganas south,2005,24 Paraganas South2005,4.5500002,343994,0,0.29
26,WB,24 paraganas south,2007,24 Paraganas South2007,6.7747369,399859,0,0.29
28,WB,24 paraganas south,2009,24 Paraganas South2009,8.272727,448279,0,0.29
31,WB,24 paraganas south,2012,24 Paraganas South2012,5.6059999,492901,0,0.29
32,WB,24 paraganas south,2013,24 Paraganas South2013,3.768889,503952,0,0.29
35,WB,24 paraganas south,2016,24 Paraganas South2016,4.6857142,584911,0,0.29
36,WB,24 paraganas south,2017,24 Paraganas South2017,17.50926,623787,0,0.29
37,WB,24 paraganas south,2018,24 Paraganas South2018,1.0442858,659288,0,0.29
38,TG,adilabad,2000,Adilabad2000,59.799999,153268,0,0.37
39,TG,adilabad,2001,Adilabad2001,26.78857,160218,0,0.37
40,TG,adilabad,2002,Adilabad2002,32.011429,163864,0,0.37
41,TG,adilabad,2003,Adilabad2003,62.0,179919,0,0.37
42,TG,adilabad,2004,Adilabad2004,48.5,166301,0,0.37
43,TG,adilabad,2005,Adilabad2005,62.0,193010,0,0.37
44,TG,adilabad,2006,Adilabad2006,54.836365,214290,0,0.37
45,TG,adilabad,2007,Adilabad2007,55.700001,236096,0,0.37
46,TG,adilabad,2008,Adilabad2008,92.36364,268272,0,0.37
47,TG,adilabad,2009,Adilabad2009,81.375,268998,0,0.37
48,TG,adilabad,2010,Adilabad2010,69.818184,316560,0,0.37
49,TG,adilabad,2011,Adilabad2011,108.90909,325139,0,0.37
50,TG,adilabad,2012,Adilabad2012,66.333336,334205,0,0.37
51,TG,adilabad,2013,Adilabad2013,89.272728,349593,0,0.37
52,TG,adilabad,2014,Adilabad2014,73.63636,372897,0,0.37
53,TG,adilabad,2015,Adilabad2015,79.666664,416892,0,0.37
54,TG,adilabad,2016,Adilabad2016,122.75,455731,0,0.37
55,TG,adilabad,2017,Adilabad2017,52.166668,498145,0,0.37
56,TG,adilabad,2018,Adilabad2018,46.0,544441,0,0.37
57,UP,agra,2000,Agra2000,16.857143,387943,0,0.26
59,UP,agra,2002,Agra2002,74.5,407783,0,0.26
61,UP,agra,2004,Agra2004,26.799999,425891,0,0.26
62,UP,agra,2005,Agra2005,57.691666,450750,0,0.26
73,UP,agra,2016,Agra2016,53.331429,888453,0,0.26
75,UP,agra,2018,Agra2018,15.202857,949184,0,0.26
76,GJ,ahmadabad,2000,Ahmadabad2000,105.8,240428,0,0.33
78,GJ,ahmadabad,2002,Ahmadabad2002,31.846153,282634,0,0.33
80,GJ,ahmadabad,2004,Ahmadabad2004,25.200001,305098,0,0.33
81,GJ,ahmadabad,2005,Ahmadabad2005,61.333332,349385,0,0.33
82,GJ,ahmadabad,2006,Ahmadabad2006,87.058334,378934,0,0.33
83,GJ,ahmadabad,2007,Ahmadabad2007,55.5,423741,0,0.33
84,GJ,ahmadabad,2008,Ahmadabad2008,37.799999,441854,0,0.33
85,GJ,ahmadabad,2009,Ahmadabad2009,89.099998,504289,0,0.33
86,GJ,ahmadabad,2010,Ahmadabad2010,144.0,559476,0,0.33
87,GJ,ahmadabad,2011,Ahmadabad2011,66.800003,532809,0,0.33
88,GJ,ahmadabad,2012,Ahmadabad2012,33.666668,596659,0,0.33
89,GJ,ahmadabad,2013,Ahmadabad2013,32.5,641489,0,0.33
90,GJ,ahmadabad,2014,Ahmadabad2014,40.272728,705629,0,0.33
91,GJ,ahmadabad,2015,Ahmadabad2015,16.299999,774775,0,0.33
92,GJ,ahmadabad,2016,Ahmadabad2016,29.799999,843930,0,0.33
93,GJ,ahmadabad,2017,Ahmadabad2017,217.7,946511,1,0.33
94,GJ,ahmadabad,2018,Ahmadabad2018,29.125,1034399,0,0.33
95,MH,ahmednagar,2000,Ahmednagar2000,32.275864,558786,0,0.24
96,MH,ahmednagar,2001,Ahmednagar2001,111.92,578527,0,0.24
97,MH,ahmednagar,2002,Ahmednagar2002,66.599998,618422,0,0.24
99,MH,ahmednagar,2004,Ahmednagar2004,58.882355,632587,0,0.24
100,MH,ahmednagar,2005,Ahmednagar2005,83.533333,724237,0,0.24
101,MH,ahmednagar,2006,Ahmednagar2006,61.820515,823993,0,0.24
102,MH,ahmednagar,2007,Ahmednagar2007,95.085365,919898,0,0.24
103,MH,ahmednagar,2008,Ahmednagar2008,68.929756,934347,0,0.24
104,MH,ahmednagar,2009,Ahmednagar2009,110.8,1024622,0,0.24
105,MH,ahmednagar,2010,Ahmednagar2010,89.0,1141365,0,0.24
106,MH,ahmednagar,2011,Ahmednagar2011,68.8125,1126595,0,0.24
107,MH,ahmednagar,2012,Ahmednagar2012,29.086956,1189711,0,0.24
108,MH,ahmednagar,2013,Ahmednagar2013,31.222221,1267551,0,0.24
109,MH,ahmednagar,2014,Ahmednagar2014,27.733334,1345341,0,0.24
110,MH,ahmednagar,2015,Ahmednagar2015,25.631578,1452513,0,0.24
111,MH,ahmednagar,2016,Ahmednagar2016,20.6,1596121,0,0.24
112,MH,ahmednagar,2017,Ahmednagar2017,107.65484,1661065,0,0.24
113,MH,ahmednagar,2018,Ahmednagar2018,30.12245,1728578,0,0.24
114,RJ,ajmer,2000,Ajmer2000,47.32143,192772,0,0.31
115,RJ,ajmer,2001,Ajmer2001,43.796452,214725,0,0.31
116,RJ,ajmer,2002,Ajmer2002,54.687271,188930,0,0.31
118,RJ,ajmer,2004,Ajmer2004,47.279312,227663,0,0.31
119,RJ,ajmer,2005,Ajmer2005,79.463638,242955,0,0.31
120,RJ,ajmer,2006,Ajmer2006,91.73333,271552,0,0.31
121,RJ,ajmer,2007,Ajmer2007,83.324089,283923,0,0.31
122,RJ,ajmer,2008,Ajmer2008,54.0625,307800,0,0.31
123,RJ,ajmer,2009,Ajmer2009,40.196205,325739,0,0.31
124,RJ,ajmer,2010,Ajmer2010,36.700909,374666,0,0.31
125,RJ,ajmer,2011,Ajmer2011,59.147144,395331,0,0.31
126,RJ,ajmer,2012,Ajmer2012,65.192307,409802,0,0.31
127,RJ,ajmer,2013,Ajmer2013,102.25,434292,0,0.31
128,RJ,ajmer,2014,Ajmer2014,43.238094,465408,0,0.31
129,RJ,ajmer,2015,Ajmer2015,132.0,501922,0,0.31
130,RJ,ajmer,2016,Ajmer2016,30.833334,529650,0,0.31
131,RJ,ajmer,2017,Ajmer2017,65.454544,557618,0,0.31
132,RJ,ajmer,2018,Ajmer2018,69.010529,568102,0,0.31
133,MH,akola,2000,Akola2000,154.45454,558786,1,0.25
134,MH,akola,2001,Akola2001,27.357143,578527,0,0.25
135,MH,akola,2002,Akola2002,19.200001,618422,0,0.25
137,MH,akola,2004,Akola2004,89.894737,632587,0,0.25
138,MH,akola,2005,Akola2005,80.181816,724237,0,0.25
139,MH,akola,2006,Akola2006,59.615383,823993,0,0.25
140,MH,akola,2007,Akola2007,90.11895,919898,0,0.25
141,MH,akola,2008,Akola2008,82.89875,934347,0,0.25
142,MH,akola,2009,Akola2009,105.53846,1024622,0,0.25
143,MH,akola,2010,Akola2010,105.22222,1141365,0,0.25
144,MH,akola,2011,Akola2011,104.85714,1126595,0,0.25
145,MH,akola,2012,Akola2012,45.833332,1189711,0,0.25
146,MH,akola,2013,Akola2013,41.53846,1267551,0,0.25
147,MH,akola,2014,Akola2014,0.0,1345341,0,0.25
148,MH,akola,2015,Akola2015,34.5,1452513,0,0.25
149,MH,akola,2016,Akola2016,36.714287,1596121,0,0.25
150,MH,akola,2017,Akola2017,78.285713,1661065,0,0.25
151,MH,akola,2018,Akola2018,27.8125,1728578,0,0.25
152,KL,alappuzha,2000,Alappuzha2000,3.3499999,173359,0,0.32
153,KL,alappuzha,2001,Alappuzha2001,6.7789474,182021,0,0.32
154,KL,alappuzha,2002,Alappuzha2002,4.4277778,195338,0,0.32
156,KL,alappuzha,2004,Alappuzha2004,13.4564,206464,0,0.32
157,KL,alappuzha,2005,Alappuzha2005,5.2645831,227596,0,0.32
159,KL,alappuzha,2007,Alappuzha2007,5.7787881,267493,0,0.32
160,KL,alappuzha,2008,Alappuzha2008,1.6,283941,0,0.32
161,KL,alappuzha,2009,Alappuzha2009,5.895278,309615,0,0.32
162,KL,alappuzha,2010,Alappuzha2010,4.7421622,329428,0,0.32
163,KL,alappuzha,2011,Alappuzha2011,4.0329413,328021,0,0.32
164,KL,alappuzha,2012,Alappuzha2012,7.1212502,348616,0,0.32
165,KL,alappuzha,2013,Alappuzha2013,5.6789999,364707,0,0.32
166,KL,alappuzha,2014,Alappuzha2014,3.9551725,382134,0,0.32
167,KL,alappuzha,2015,Alappuzha2015,5.0566669,411150,0,0.32
168,KL,alappuzha,2016,Alappuzha2016,6.9071426,443615,0,0.32
169,KL,alappuzha,2017,Alappuzha2017,9.5916662,473182,0,0.32
170,KL,alappuzha,2018,Alappuzha2018,9.2560978,510787,0,0.32
171,UP,aligarh,2000,Aligarh2000,50.5,387943,0,0.28
173,UP,aligarh,2002,Aligarh2002,34.057144,407783,0,0.28
175,UP,aligarh,2004,Aligarh2004,24.799999,425891,0,0.28
176,UP,aligarh,2005,Aligarh2005,69.779999,450750,0,0.28
187,UP,aligarh,2016,Aligarh2016,19.825001,888453,0,0.28
189,UP,aligarh,2018,Aligarh2018,51.0,949184,0,0.28
190,WB,alipurduar,2000,Alipurduar2000,16.799999,274556,0,0.22
191,WB,alipurduar,2001,Alipurduar2001,14.425,294382,0,0.22
192,WB,alipurduar,2002,Alipurduar2002,8.5159998,304701,0,0.22
194,WB,alipurduar,2004,Alipurduar2004,6.1500001,323618,0,0.22
196,WB,alipurduar,2006,Alipurduar2006,5.4099998,370995,0,0.22
198,WB,alipurduar,2008,Alipurduar2008,1.6875,415976,0,0.22
199,WB,alipurduar,2009,Alipurduar2009,1.6857142,448279,0,0.22
203,WB,alipurduar,2013,Alipurduar2013,5.6999998,503952,0,0.22
206,WB,alipurduar,2016,Alipurduar2016,8.1111107,584911,0,0.22
207,WB,alipurduar,2017,Alipurduar2017,17.042858,623787,0,0.22
208,WB,alipurduar,2018,Alipurduar2018,15.725,659288,0,0.22
209,MP,alirajpur,2000,Alirajpur2000,26.92,162796,0,0.32
210,MP,alirajpur,2001,Alirajpur2001,36.285713,174443,0,0.32
211,MP,alirajpur,2002,Alirajpur2002,97.0,165346,0,0.32
213,MP,alirajpur,2004,Alirajpur2004,87.85714,180818,0,0.32
215,MP,alirajpur,2006,Alirajpur2006,24.822222,207243,0,0.32
216,MP,alirajpur,2007,Alirajpur2007,62.400002,217036,0,0.32
217,MP,alirajpur,2008,Alirajpur2008,122.0,244476,0,0.32
218,MP,alirajpur,2009,Alirajpur2009,44.777779,267651,0,0.32
219,MP,alirajpur,2010,Alirajpur2010,103.11111,281705,0,0.32
220,MP,alirajpur,2011,Alirajpur2011,69.033333,282371,0,0.32
221,MP,alirajpur,2012,Alirajpur2012,98.222221,306853,0,0.32
222,MP,alirajpur,2013,Alirajpur2013,107.5,322598,0,0.32
223,MP,alirajpur,2014,Alirajpur2014,82.63636,339247,0,0.32
224,MP,alirajpur,2015,Alirajpur2015,58.363636,370716,0,0.32
225,MP,alirajpur,2016,Alirajpur2016,32.200001,419465,0,0.32
226,MP,alirajpur,2017,Alirajpur2017,98.083336,441956,0,0.32
227,MP,alirajpur,2018,Alirajpur2018,29.5,482361,0,0.32
237,UK,almora,2009,Almora2009,13.0,90131,0,0.27
240,UK,almora,2012,Almora2012,4.5999999,109528,0,0.27
244,UK,almora,2016,Almora2016,17.0,150303,0,0.27
247,RJ,alwar,2000,Alwar2000,71.431816,192772,0,0.39
248,RJ,alwar,2001,Alwar2001,56.81818,214725,0,0.39
249,RJ,alwar,2002,Alwar2002,50.825806,188930,0,0.39
251,RJ,alwar,2004,Alwar2004,48.894287,227663,0,0.39
252,RJ,alwar,2005,Alwar2005,70.635292,242955,0,0.39
253,RJ,alwar,2006,Alwar2006,69.191818,271552,0,0.39
254,RJ,alwar,2007,Alwar2007,45.6185,283923,0,0.39
255,RJ,alwar,2008,Alwar2008,86.96917,307800,0,0.39
256,RJ,alwar,2009,Alwar2009,69.225807,325739,0,0.39
257,RJ,alwar,2010,Alwar2010,52.416668,374666,0,0.39
258,RJ,alwar,2011,Alwar2011,34.315777,395331,0,0.39
259,RJ,alwar,2012,Alwar2012,66.862961,409802,0,0.39
260,RJ,alwar,2013,Alwar2013,78.692307,434292,0,0.39
261,RJ,alwar,2014,Alwar2014,42.588234,465408,0,0.39
262,RJ,alwar,2015,Alwar2015,49.040001,501922,0,0.39
263,RJ,alwar,2016,Alwar2016,42.682499,529650,0,0.39
264,RJ,alwar,2017,Alwar2017,58.341,557618,0,0.39
265,RJ,alwar,2018,Alwar2018,21.711481,568102,0,0.39
266,HR,ambala,2000,Ambala2000,21.329412,125977,0,0.37
267,HR,ambala,2001,Ambala2001,3.8,135708,0,0.37
268,HR,ambala,2002,Ambala2002,44.86842,144027,0,0.37
270,HR,ambala,2004,Ambala2004,110.75333,157600,0,0.37
271,HR,ambala,2005,Ambala2005,84.116669,171837,0,0.37
