,state,district,year,dyid,nitrate
93,Gujarat,ahmadabad,2017,Ahmadabad2017,217.7
133,Maharashtra,akola,2000,Akola2000,154.45454
304,Maharashtra,amravati,2000,Amravati2000,167.23393
401,Andhra Pradesh,anantapur,2002,Anantapur2002,165.56599
404,Andhra Pradesh,anantapur,2005,Anantapur2005,150.18182
405,Andhra Pradesh,anantapur,2006,Anantapur2006,209.39063
407,Andhra Pradesh,anantapur,2008,Anantapur2008,204.83333
413,Andhra Pradesh,anantapur,2014,Anantapur2014,154.63333
415,Andhra Pradesh,anantapur,2016,Anantapur2016,264.16129
416,Andhra Pradesh,anantapur,2017,Anantapur2017,150.43478
417,Andhra Pradesh,anantapur,2018,Anantapur2018,151.78918
571,Maharashtra,aurangabad,2001,Aurangabad2001,184.72728
577,Maharashtra,aurangabad,2007,Aurangabad2007,224.0
579,Bihar,aurangabad,2009,Aurangabad2009,171.0
581,Bihar,aurangabad,2011,Aurangabad2011,214.39999
582,Maharashtra,aurangabad,2012,Aurangabad2012,160.58333
629,Karnataka,bagalkote,2002,Bagalkote2002,175.43124
637,Karnataka,bagalkote,2010,Bagalkote2010,153.21666
640,Karnataka,bagalkote,2013,Bagalkote2013,169.92308
1045,Rajasthan,barmer,2000,Barmer2000,146.21538
1050,Rajasthan,barmer,2005,Barmer2005,153.54697
1051,Rajasthan,barmer,2006,Barmer2006,153.21249
1052,Rajasthan,barmer,2007,Barmer2007,159.08461
1068,Punjab,barnala,2004,Barnala2004,169.33333
1163,Punjab,bathinda,2004,Bathinda2004,215.2
1165,Punjab,bathinda,2006,Bathinda2006,154.35789
1235,Karnataka,belgaum,2000,Belgaum2000,234.0
1255,Karnataka,bellary,2001,Bellary2001,146.60001
1257,Karnataka,bellary,2003,Bellary2003,196.80667
1264,Karnataka,bellary,2010,Bellary2010,150.88333
1487,Haryana,bhiwani,2005,Bhiwani2005,180.02222
1488,Haryana,bhiwani,2006,Bhiwani2006,151.79311
1492,Haryana,bhiwani,2010,Bhiwani2010,172.7
1493,Haryana,bhiwani,2011,Bhiwani2011,151.53999
1496,Haryana,bhiwani,2014,Bhiwani2014,187.97408
1497,Haryana,bhiwani,2015,Bhiwani2015,201.97516
1498,Haryana,bhiwani,2016,Bhiwani2016,241.04758
